correction_id,unit_id,authority_path,authority_line,authority_text,target_path,target_line,target_text,classification,rationale,math_ordinal,source_normalized_sha256,target_normalized_sha256
O007-CORR-0001,O007-FREMLIN-V1-S112,authority/fremlin/source/mt1.2011/mt112.tex,271,E\subseteq\Sigma,source/id-ID/mt112.tex,276,E\in\Sigma,mathematical-type-error,"A measurable superset E is an element of the sigma-algebra, not a subfamily; confirmed by 112Db.",233,745fb7a4fa131cd7f4552a5bc5347cb5a5d10a66bec03801d3020693c90c1679,afe4bbaaedba5158924d3a0bd77f0304472650e71de5aed22515cc3a0a8e1bd2
O007-CORR-0002,O007-FREMLIN-V1-S112,authority/fremlin/source/mt1.2011/mt112.tex,532,unsurprisin11g,source/id-ID/mt112.tex,555,tidak mengejutkan,source-typographical-error,"Remove stray digits embedded in the English source word before translation.",,,
O007-CORR-0003,O007-FREMLIN-V1-S112,authority/fremlin/source/mt1.2011/mt112.tex,438-477,"case (i) introduces nu_0,...,nu_n; 112Yc(v) uses undefined Nu",source/id-ID/mt112.tex,455,"Nu={nu_0,...,nu_n}",source-notational-clarification,"Define the family symbol in case (i), so the common extremal statement in 112Yc(v) is typed for cases (i)-(iii).",387,36ab0354bb763d6a570aa9b77f90b0ffc6257e709f49972b30b7546fd1d39d8c,160f84a6b319f2d8d695c69bda2206b3b55b33a8c1bbde572224a73ff057a905
O007-CORR-0004,O007-FREMLIN-V1-S115,authority/fremlin/source/mt1.2011/mt115.tex,167,"\sum_{j=0}^n\lambda_{r+1}(I_j\cap H_{\beta_{r+1}})",source/id-ID/mt115.tex,174,"\sum_{j=0}^{\infty}\lambda_{r+1}(I_j\cap H_{\beta_{r+1}})",mathematical-undefined-index,"The defining membership gamma in A supplies the infinite sum; n is undefined here. Confirmed by Fremlin's official Volume 1 errata and current official chap11.tex.",106,7fe8a091715851ab1ca6e0969c61caad99c1a7620f5529dbcd381f2f55f21a4e,6e8b2fed86de4d3b5aa810960589624edef36745bd2ad71cc76188f7e51640fb
O007-CORR-0005,O007-FREMLIN-V1-S115,authority/fremlin/source/mt1.2011/mt115.tex,370,amd,source/id-ID/mt115.tex,385,dan,source-typographical-error,"Translate the intended conjunction; current official chap11.tex reads 'and'.",,,
O007-CORR-0006,O007-FREMLIN-V1-S115,authority/fremlin/source/mt1.2011/mt115.tex,417,inducing on r,source/id-ID/mt115.tex,435,dengan induksi pada r,source-typographical-error,"The proof is by induction on r; 'inducing' is a lexical typo. It remains present in the current official chap11.tex comparator and is retained as one future consolidated upstream candidate.",,,
O007-CORR-0007,O007-FREMLIN-V1-S115,authority/fremlin/source/mt1.2011/mt115.tex,468,"\prod_{i=1}^r(\beta_i-\alpha_1+\epsilon)",source/id-ID/mt115.tex,489,"\prod_{i=1}^r(\beta_i-\alpha_i+\epsilon)",mathematical-index-error,"Each factor uses its matching coordinate difference. Confirmed by Fremlin's official Volume 1 errata and current official chap11.tex.",290,218695838dda42e1cfeed66db964dca6ad2a59790328cdc3bf069dedc4ac833c,de9307e5ec9e04b9405dcf8277148c2d2762412e8eecbf5c1b1f05e4555de1c7
O007-CORR-0008,O007-FREMLIN-V1-S121,authority/fremlin/source/mt1.2011/mt121.tex,803,"\Bbb R\setminus E\in\Tau",source/id-ID/mt121.tex,831,"\BbbR^r\setminus E\in\Tau",mathematical-ambient-space-type-error,"E is a subset of R^r, so its complement is taken in R^r. Confirmed by Fremlin's official Volume 1 errata and corrected current official chap12.tex.",663,844e32576989308d3e2ab71671052fe4b2e9e9b39ee06fd2eba05493eff7d6d6,13d549f4df0dfa775f177fc2252ed04bac90f9b687793900eeef65ee209eb49d
O007-CORR-0009,O007-FREMLIN-V1-S121,authority/fremlin/source/mt1.2011/mt121.tex,190-191,"D\cap\ooint{-\infty,c} or D\cap\ocint{-\infty,c}, according to whether c\in E or not",source/id-ID/mt121.tex,201,"D\cap\ocint{-\infty,c} atau D\cap\ooint{-\infty,c}, masing-masing menurut apakah c\in E atau tidak",conditional-case-order-error,"If c belongs to E the interval is right-closed; otherwise it is open. The derivative swaps two adjacent formula atoms while preserving their topology; both formula records link this one correction.",,,
O007-CORR-0010,O007-FREMLIN-V1-S121,authority/fremlin/source/mt1.2011/mt121.tex,500,"\liminf_{n\in\Bbb N}f_n",source/id-ID/mt121.tex,512,"\liminf_{n\to\infty}f_n",limit-subscript-notation-inconsistency,"The clause defines and discusses the limit inferior as n tends to infinity; normalize the lone inconsistent concluding subscript.",418,0568fbfb6eb0159f85d9edf5c78e503729e5bc435d314ead637094c798766d55,f716f924d4966674f17a65c7d72af2304c27328ed058d19b225e796d9ce3ecd5
